dataset,worksheet,column,col_index,data_type,examples,description,units,role,missing_pct,unique_count,notes,confidence
NIMS TRIAGE 2023.xlsx,Sheet3,15,15,float64,1.0 | 0.0,"red=1 (critical triage TARGET) - HEADERLESS sheet, meaning assigned by column position against the male sheet's schema",see male sheet,TARGET,1.14,2,Sheet3 has NO header row; identical column order to 'Form Responses 1' minus 'GI emerg' and 'stroke'.,High
NIMS TRIAGE 2023.xlsx,Sheet3,16,16,str,Came from rheumat opd | Patient from urology opd 8wk 3 days preg | K/c/o migraine 25% stenosis of rca | Rta slip and fall from bike,"Additional information - HEADERLESS sheet, meaning assigned by column position against the male sheet's schema",see male sheet,metadata,97.05,10,Sheet3 has NO header row; identical column order to 'Form Responses 1' minus 'GI emerg' and 'stroke'.,High
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,Timestamp,0,datetime64[us],2024-12-01 12:36:39.779 | 2024-12-01 13:20:16.249 | 2024-12-09 17:23:47.195 | 2025-02-12 13:16:50.026,Google Form submission time,datetime,timestamp,0.71,1125,Dec-2024 to Aug-2025; 96% of volume in Mar-May 2025. 62 distinct days.,High
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,Email Address,1,str,<PII redacted>,Staff account performing the triage,email,grouping variable (rater id),0.71,35,35 raters; 18 also appear in the 2023 file - same department.,High
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,Name ,2,object,<PII redacted>,Patient name,text,identifier (direct PHI),0.79,1106,,High
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,CR Number,3,object,<PII redacted>,Hospital registration number,15-digit id,identifier (unreliable),0.71,1052,Only 1021/1125 have 15 digits; 61 CR values map to >1 patient name. NOT a trustworthy key.,High
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,Age,4,object,68 | 41 | 45 | 56,Patient age,years,feature,0.71,86,6-95; stored as object (some text entries).,High
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,Sex,5,str,Female | Male | male,Sex,category,feature,0.71,3,Male/Female + one 'male' - capitalisation inconsistency.,High
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,Complaint/Diagnosis,6,str,Severe Headache - SAH with PCOM Aneurysm | ?MSK PAIN | H | Hsv encephalopathy ,Free-text presenting complaint,text,feature after coding,0.71,998,"967 distinct strings for 1125 records - near-unique, needs NLP/manual coding.",High
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,PAIN SCORE NRS,7,float64,5.0 | 6.0 | 4.0 | 1.0,Numeric Rating Scale pain score,0-10,feature,0.71,10,100% filled (mandatory field); no association with ESI (rho=-0.008).,High
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,Airway,8,str,"Patent | Threatened | Intubated outside | Patent, Intubated outside",Airway status - the 'A' of ABCDE,category,feature,0.71,6,93% 'Patent'; 36 'Intubated outside'.,High
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,Intervention (Airway),9,str,"Suction | Airway Opening | Endotracheal Intubation | Suction, OPA/NPA",Airway intervention performed,category,feature / outcome-of-care,92.14,14,"92% empty; blank = none, but fill rate falls to 0 in later months.",High
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,Respiratory Rate,10,object,20 | 18 | 22 | 26,Respiratory rate - 'B',breaths/min,feature,0.71,37,Includes 0 and 65.,High
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,Bilateral Air Entry,11,str,"Present | Present, Absent | Absent",Bilateral air entry on auscultation,category,feature,0.71,3,99% 'Present' - near-constant.,High
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,Saturation,12,float64,97.0 | 96.0 | 88.0 | 98.0,SpO2,percent,feature,0.71,39,One 0. Strongest single vital vs ESI after GCS.,High
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,Other,13,str,"Trachea deviation | Chest compression Test positive | Subcutaneous Emphysema | Chest compression Test positive, None",Free-text breathing findings,text,feature,97.62,5,97.6% empty.,Medium
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,Intervention (Breathing),14,str,"NIV | Face mask/cannula | Invasive Ventilation | Face mask/cannula, Nebulization",Oxygen/ventilation given,category,feature / outcome-of-care,70.08,11,"Face mask/cannula 240, invasive ventilation etc. Recorded AFTER assessment - leakage risk.",High
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,Pulse rate,15,float64,69.0 | 93.0 | 33.0 | 67.0,Heart rate - 'C',beats/min,feature,0.71,119,11-243.,High
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,Blood Pressure,16,object,110/80 | 120/90 | 345 | 120/80,BP as 'SBP/DBP' text,mmHg text,feature (needs parsing),0.71,125,"97.1% parseable; one 700 systolic, some '60 systolic' free text.",High
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,Capillary Refill Time,17,str,<3 seconds | >3 seconds,CRT <3s or >3s,binary category,feature,0.71,2,59/1125 prolonged.,High
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,Other.1,18,str,"Pelvic compression | Neck veins | Bleed | Bleed, Pelvic compression",Free-text circulation findings,text,feature,97.53,4,97.5% empty.,Medium
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,Intervention (Circulation),19,str,"IV line, IV fluid | IV line | IV line, IV fluid, Blood Transfusion | IV line, IV fluid, Vasopressors",IV access / fluids given,category,feature / outcome-of-care,11.39,17,"89% filled; 'IV line, IV fluid' most common.",High
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,GCS  E,20,float64,4.0 | 3.0 | 1.0 | 2.0,GCS eye - 'D',1-4,feature,0.71,4,,High
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,GCS V,21,object,5 | 2 | 1 | 4,GCS verbal,"1-5 (+'T','A')",feature,0.71,8,One value of 6 = impossible; 'T'/'A' non-numeric codes.,High
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,GCS M,22,float64,6.0 | 1.0 | 5.0 | 3.0,GCS motor,1-6,feature,0.71,6,,High
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,GCS,23,float64,15.0 | 6.0 | 10.0,GCS total,3-15,DERIVED,99.38,3,Only 7/1125 filled - recompute as E+V+M instead. One computed total = 16 (impossible).,High
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,Pupils,24,str,"BERTL | fixed b/l | Anisocoria - rt eye -2mm , lt eye - 4mm | Rt pupil - ns fixed, LT pupil-ns sluggis","Pupil findings ('BERTL' = bilaterally equal, reacting to light)",category,feature,0.71,45,96% BERTL; 45 distinct spellings of the rest.,High
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,Focal Neurological Deficit,25,str,No | Yes,Focal neuro deficit present,Yes/No,feature,0.71,2,160/1125 Yes.,High
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,Intervention (Disability),26,str,Fhil | Alert consious | Pain management  | Pain management and Xrays,Neuro intervention,free text,feature,9.89,138,138 distinct values that are mostly 'No'/'Nil'/'-'/'.' - unusable as-is.,Low
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,Temperature in Fahrenheit,27,float64,98.5 | 99.0 | 98.4 | 97.5,Body temperature - 'E',MIXED F and C,feature,0.71,71,22 out-of-range incl. 37.5/37.9 (Celsius in a Fahrenheit field) and 4.0.,High
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,Log Roll,28,object,Bk | No | Normal | Normal ,Log-roll (spinal) examination performed/findings,free text,feature,7.41,65,"65 distinct values, mostly placeholders.",Low
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,Intervention (Exposure),29,object,Bv | Nil | None  | NIV mask with Nebulization Duolin and Bu,Exposure-stage intervention,free text,feature,11.21,96,96 distinct placeholder-heavy values.,Low
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,Area Triaged,30,str,Table 2 | Red Triage | Table 1,Physical area the patient was sent to,3 categories,TARGET / near-duplicate of ESI,0.71,3,"Red Triage 583, Table 1 372, Table 2 170. Almost determined by ESI - LEAKAGE if used as a feature for ESI.",High
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,ESI Triage Category,31,object,NS opinion  | 3 | 5 | 2,Emergency Severity Index 1-5,ordinal 1-5,PRIMARY TARGET,0.88,6,1:129 2:376 3:492 4:111 5:14. Mixed int/str storage + one 'NS opinion'.,High
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,Column 31,32,str,Option 1,Orphan form column,-,artifact,98.85,1,13 rows of 'Option 1'. Delete.,High
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,GRBS (mg/dL),33,object,33 | 171 | 111 | Normal,Random blood glucose,mg/dL,feature,0.88,244,Almost entirely empty - question added late.,Medium
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,Unnamed: 34,34,str,<PII redacted>,,,unclassified / empty column,71.93,168,Not interpreted: empty or orphan column.,Low
NIMS TRIAGE 2024 (Responses).xlsx,Form Responses 1,Disposition,35,str,Neurology | Neurosurgery | Surgical Gastroenterology | General Medicine,Where the patient went next,category,POTENTIAL OUTCOME,76.96,17,Almost entirely empty - the outcome that was never captured.,High
